"tag","hit","translate"
"bangs","1446592","前髪"
"striped","211065","縞模様"
"shiny","204926","輝く"
"silver_hair","172873","銀髪"
"black_legwear","151031","黒のレッグウェア"
"uniform","134600","制服"
"shiny_hair","122714","艶やかな髪"
"white_legwear","99720","白のレッグウェア"
"see-through","99593","透明な,シースルー"
"gradient","98281","グラデーション"
"hand_on_hip","98165","お尻に手"
"plaid","95011","格子縞"
"black_headwear","80049","黒のヘッドウェア"
"white_headwear","62443","白のヘッドウェア"
"upper_teeth","59984","上の歯"
"looking_away","59190","よそ見"
"grabbing","57712","つかみ取る"
"formal","54153","フォーマルな,正装"
"light_brown_hair","48178","明るい茶髪,薄茶色の髪"
"breast_grab","47836","鷲掴み"
"eyebrows","43694","眉毛"
"areolae","43051","乳輪"
"lifted_by_self","41638","たくしあげ"
"covering","34193","隠す"
"torn_legwear","30238","破れたレッグウェア"
"light_purple_hair","29602","薄紫の髪"
"red_headwear","28775","赤のレッグウェア"
"vertical_stripes","28250","縦縞"
"french_braid","27351","フランス編み"
"striped_legwear","26881","ストライプ・レッグウェア"
"breast_hold","24517","乳上げ"
"blue_headwear","23914","青のヘッドウェア"
"hands","22364","両腕"
"oni_horns","21850","鬼の角"
"hands_on_hips","20299","お尻に両手"
"breast_squeeze","19831","乳房絞り"
"tied_hair","19687","タイドヘア"
"hat_removed","19155","帽子なし"
"pose","17917","ポーズ"
"saber","15901","セイバー"
"green_headwear","14949","緑のヘッドウェア"
"covering_mouth","14842","口元隠し"
"sakura_kyouko","14289","佐倉杏子"
"anime_screencap","14040","アニメ風"
"labcoat","13993","白衣"
"brown_headwear","13823","茶色のヘアウェア"
"holding_clothes","13746","衣服を抱えた"
"brown_legwear","13377","茶色のレッグウェア"
"untied","13307","ゆるい"
"argyle","13015","怒り,怒った"
"highleg_swimsuit","12351","ハイレグ水着"
"pink_headwear","10568","ピンクのヘッドウェア"
"pilot_suit","10167","パイロット・スーツ"